C,#,Producto,Sec
111,2,Jugo de Limón 500 cc - Zanoni,ALM
111,1,Salsa de soja 500 cc - Chuantong,ALM
111,1,Tomate perita 400 g - Mora,ALM
111,1,Atún en lata lomito 170 g - Bahía,ALM
111,1,Palmito enteros 400 g - Bahía,ALM
111,1,Aceitunas verdes nº 0 x 360 gr - Buena Cosecha,ALM
111,1,Mermelada pomelo 450 g - Alimentos Natureza,ALM
111,1,Arroz largo fino 1 kg - Lucchetti,ALM
111,1,Fideos tirabuzon secos 500 g - Don Pepe,ALM
111,2,Lentejas agroecológicas 500 g - Poroto Santto,ALM
111,1,Bizcochos agridulces 200 g - 9 de Oro,ALM
111,1,Bizcochos salados 200 g - 9 de Oro,ALM
111,1,Café de filtro 250 g - La Virginia,ALM
111,1,Mayonesa 500 g - Zanoni,ALM
111,1,Caldos sabor verduras 4 u - Alicante,ALM
111,1,Té en saquitos 25 u - La Virginia,ALM
111,2,Yerba mate 25 u - La Hoja,ALM
111,1,Magdalenas rellenas con dulce de leche 250 g - Pozo,FRA
111,1,Galletitas crackers de agua 300 g - Paseo,FRA
111,1,Tostadas de mesa 200 g - Marinozzi,FRA
111,1,Galletas marineras Mix Semillas 400 g - NS,FRA
111,1,Familiar Salvado 600 g - Don Yeyo,FRA
111,1,Pan cinco semillas esenciales 400 g - Don Yeyo,FRA
111,5,Galletitas de arroz 150 g - Molinos del Bosque,FRA
111,1,Galletas de arroz integral x 100 g - All Rice,FRA
111,1,Copos de Maiz tradicionales x 160 g - Granix,FRA
111,1,Copos de Maiz azucarados x 240 g - Granix,FRA
111,2,Queso cremoso 500 g - Lácteos Rosario,FRE
111,2,Queso crema 290 g - Milkaut,FRE
111,4,Manteca pan 200 g - La Cabaña,FRE
